2024,Column,Column,Column,Column,2023,Column,Column,Column,Column
"Assets for
remaining
coverage","Estimate
of present
value of
future cash
flows","Risk
adjustment
for non
financial
risk","Subtotal
assets for
incurred
claims","Total
Assets","Assets for
remaining
coverage","Estimate
of present
value of
future cash
flows","Risk
adjustment
for non
financial
risk","Subtotal
assets for
incurred
claims","Total
Assets"
Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
"281,756","414,862","20,179","435,041","716,797",,,,,
"(783,359)",-,-,-,"(783,359)",,,,,
-,"91,558","(2,508)","89,050","89,050",,,,,
-,"(6,712)",-,"(6,712)","(6,712)",,,,,
-,"84,846","(2,508)","82,338","82,338",,,,,
"(783,359)","84,846","(2,508)","82,338","(701,021)",,,,,
-,"60,152",-,"60,152","60,152",,,,,
"(783,359)","144,998","(2,508)","142,490","(640,869)",,,,,
"867,452",-,-,-,"867,452",,,,,
-,"(105,332)",-,"(105,332)","(105,332)",,,,,
"867,452","(105,332)",-,"(105,332)","762,120",,,,,
"(365,849)","(454,528)","(17,671)","(472,199)","(838,048)",,,,,
-,-,-,-,-,,,,,
