"SKSIR
LARENEG",Risk type,Description,"Potential
significant
impact"
,Operational,"Operational risk is the risk that there is a loss as a result of inadequate or failed internal processes, people or
systems and external events. Operational risk includes:","All Group
businesses"
,,"Information and technology risk: the risk of obsolescence of infrastructure, deficiency in integration, failures/
inadequacies in systems/networks and the loss of accuracy, confidentiality, availability and integrity of data.",
,,"Going concern/business continuity risk: the risk that inadequate processes, people, financial controls and
resources exist to continue business in the foreseeable future.",
,,"Legal risk: the risk that the Group will be exposed to contractual obligations which have not been provided
for.",
,,"Compliance risk: the risk of not complying with laws and regulations, as well as investment management
mandates.",
,,Fraud risk: the risk of financial crime and unlawful conduct occurring within the Group.,
,Taxation,"Taxation risk is the risk of financial loss due to changes in tax legislation that result in the actual tax on
shareholders’ fund earnings being higher than expected, with a corresponding reduction in return on Group
Embedded Value; or the actual policyholder tax being higher than that assumed in the determination of
premium rates and guaranteed policy benefits.","All Group
businesses"
,Reputational,"Reputational risk is the risk that the actions of a business (e.g. the treatment of clients, employment equity
and social responsibility) harm its reputation and brand.","All Group
businesses"
,Legislation,"Legislation risk is the risk that unanticipated new acts or regulations will result in the need to change business
practices that may lead to financial loss.","All Group
businesses"
,Strategic,"Strategic risk is the risk that the Group’s strategy is inappropriate or that the Group is unable to implement
its strategy.","All Group
businesses"
,Market,"Market risk is the risk that the fair value or future cash flows of financial instruments will fluctuate because of
changes in market price. Market risk includes:","Life
insurance
Capital
markets
Short-term
insurance"
"SKSIR
CIFICEPS(SSENISUB
DNA
LAICNANIF",,,
,,"Equity risk: the risk that the fair value of cash flows of a financial instrument will fluctuate as a result of
changes in equity prices.",
,,"Interest rate risk: the risk that the value of an unmatched financial instrument will fluctuate as a result of
changes in interest rates and the risks that mismatch losses will be incurred in respect of a matched asset/
liability position following changes in interest rates.",
,,"Foreign Exchange Risk: The risk that the fair value or future cash flows of a financial instrument will fluctuate
because of changes in foreign exchange rates.",
,,"Property risk: the risk that the value of investment properties will fluctuate as a result of changes in the
environment.","Life
insurance"
,Credit,"Credit risk is the risk that the group/company will incur a financial loss from the inability or unwillingness of
counterparty to a financial instrument to discharge its contractual obligations. Credit risk includes:","Life
insurance
Capital
markets
Short-term
insurance"
,,"Reinsurance risk: concentration risk with individual reinsurers, due to the nature of the reinsurance market
and the restricted range of reinsurers that have acceptable credit ratings.",
,Liquidity,"Liquidity risk is the risk relating to the difficulty/inability to accessing/raising funds to meet commitments
associated with financial instruments or policy contracts.","Life
insurance
capital mark."
,Insurance,Insurance risk includes:,"Life
insurance
Short-term
insurance"
,,"Underwriting risk: the risk that the actual experience relating to mortality, disability and medical risks will
deviate negatively from the expected experience used in the pricing of solutions and valuation of policy
liabilities.",
,,"Persistency risk: the risk of financial loss due to negative lapse, surrender and paid-up experience.",
,,"Expense risk: the risk of loss due to actual expense experience being worse than that assumed in premium
rates and the valuation of policy liabilities.",
,,"Concentration risk: the risk of financial loss due to having written large proportions of business with
policyholders of the same/similar risk profile.",
,"Capital
adequacy","Capital adequacy risk is the risk that there are insufficient assets to provide for variations in actual future
experience, worse than that which has been assumed in the valuation bases.","Life
insurance"
