Name,Type,"Place of
incorporation",Ownership interest,Column
,,,2023,2022
Hubris Holdings Limited,Immediate parent entity,Kenya,57.14%,57.14%
"Sanlam Allianz Africa
(Proprietary) Limited",Intermediate parent entity,South Africa,57.14%,57.14%
Sanlam Limited,"Ultimate parent entity and
controlling party",South Africa,57.14%,57.14%
