Mortgages,Policy loans,Insurance receivables,Total
KShs.’000,KShs.’000,KShs.’000,KShs.’000
"6,074",297,"1,213,547","1,219,918"
-,-,"68,986","68,986"
-,-,-,-
"6,074",297,"1,282,533","1,288,904"
"5,751",297,"957,828","963,876"
323,-,"255,719","256,042"
-,-,-,-
"6,074",297,"1,213,547","1,219,918"
