Column,Number of lives,Column,Before Reinsurance,Column,After reinsurance,Column
,2019,2018,2019,2018,2019,2018
Kshs’000,,,Kshs’000,Kshs’000,Kshs’000,Kshs’000
,"2,003","2,049","123,021","136,580","123,021","136,580"
,912,806,"185,165","179,904","185,165","179,904"
,403,357,"140,977","138,436","140,977","138,436"
,239,218,"118,323","119,464","118,323","119,464"
,139,113,"88,849","80,326","88,849","80,326"
,314,235,"380,164","313,972","380,164","313,972"
,"4,010","3,778","1,036,499","968,682","1,036,499","968,682"
