2013,2014,2015,2016,2017
KShs.m,KShs.m,KShs.m,KShs.m,KShs.m
"1,514","1,150",51,317,251
"1,253",871,(62),90,31
"5,324","5,247","5,182","5,225","6,370"
"5,102","4,991","4,797","4,832","5,416"
"5,274","5,054","4,257","4,478","4,534"
"3,338","3,778","3,802","3,932","4,052"
"14,938","17,446","19,667","21,847","18,691"
480,480,720,720,720
"21,158","24,599","27,109","28,442","29,829"
KShs.,KShs.,KShs.,KShs.,KShs.
13,6.05,(0.43),0.63,0.21
4.5,-,-,-,-
432,-,-,-,-
"8,640","11,520","8,640","3,996","3,996"
100,145,141*,65,31
39,87,55,28,18
90,120,60,28,28
