"Ordinary life
KShs.‘000","Super-annuation
KShs.‘000","General business
KShs.‘000","Investments
KShs.‘000","Consolidation adjustments
KShs.’000","Total
KShs.‘000"
"2,553,922","1,773,010","2,042,915",-,-,"6,369,847"
"(27,287)","(372,037)","(554,308)",-,-,"(953,632)"
"2,526,635","1,400,973","1,488,607",-,-,"5,416,215"
"26,081","91,078","133,096","113,366","(63,529)","300,092"
"1,037,829","1,123,694","57,396","2,862","63,529","2,285,310"
"553,661",-,"4,723","(189,433)",-,"368,951"
"(1,125,243)",-,-,-,-,"(1,125,243)"
"2,714",-,(646),"163,368","(36,000)","129,436"
"495,042","1,214,772","194,569","90,163","(36,000)","1,958,546"
"3,021,677","2,615,745","1,683,176","90,163","(36,000)","7,374,761"
"(2,310,938)","(1,854,815)","(1,242,631)",-,-,"(5,408,384)"
"12,544","117,493","453,284",-,-,"583,321"
"654,164","(1,488,150)","24,921",-,-,"(809,065)"
"1,085,819",-,-,-,-,"1,085,819"
-,"19,276","(5,449)",-,-,"13,827"
"(558,411)","(3,206,196)","(769,875)",-,-,"(4,534,482)"
"(993,283)","(402,325)","(810,932)","(441,274)","58,600","(2,589,214)"
"(1,551,694)","(3,608,521)","(1,580,807)","(441,274)","58,600","(7,123,696)"
"1,469,983","(992,776)","102,369","(351,111)","22,600","251,205"
-,-,-,-,"(4,107)","(4,107)"
"1,469,983","(992,776)","102,369","(351,111)","18,493","246,958"
"(522,250)","352,709","(33,669)","9,297",-,"(193,913)"
"947,733","(640,067)","68,700","(341,814)","18,493","53,045"
-,-,140,-,-,140
"947,733","(640,067)","68,840","(341,814)","18,493","53,185"
