Column,Level 1,Level 2,Level 3,Total fair value
As at 31 December 2018:,KShs.‘000,KShs.‘000,KShs.‘000,KShs.‘000
,"2,157,938","421,333",-,"2,579,271"
,"15,167,215",-,-,"15,167,215"
,"823,684
-","445,836
-","-
2,275,478","1,269,520
2,275,478"
