Column,Column,Group,Column,Company,Column
,,2021,"2020
*Restated",2021,2020
,Note,KShs.'000,KShs.'000,KShs.'000,KShs.'000
ASSETS,,,,,
,12,"635,229","691,539","21,896","27,459"
,12(c),"87,811","122,627","29,558","34,092"
Investment properties,13(a),"2,459,680","2,383,680",-,-
,11,"35,338","56,530",-,-
,14(a),-,-,"1,451,938","2,253,435"
,27,"322,499","153,846",-,-
Financial assets,,,,,
,16,"671,655","516,342",-,-
,16,"25,259,492","22,012,625",-,-
,15,"250,636","300,319",-,-
,20(c),"243,969","198,477",-,-
,18,"1,525,471","1,360,653",-,-
,19,"89,696","89,564","89,696","89,564"
,10(b),"226,183","100,613","1,981","6,567"
,20(a),"836,074","1,004,619",-,-
,20(b),"333,294","191,197","39,347","26,208"
,13(b),-,"70,000",-,-
,21,"1,048,650","1,247,857","180,357",-
,21,"658,260","538,518","10,497","5,220"
TOTAL ASSETS,,"34,683,937","31,039,006","1,825,270","2,442,545"
"*See note 34 for restatements.
The notes set out on pages 106 to 223 form an integral part of these financial
statements.",,,,,
