Assets,Note,"External credit
rating","Internal Credit
rating","12-month or
lifetime ECL",2021,2020
,,,,,KShs ‘000,KShs ‘000
Assets,,,,,,
,16,B+,-,12 months,"25,259,492","22,012,625"
,15,-,Group 2,12 months,"250,636","300,319"
,20 (a),-,Group 2,Life time,"836,074","1,004,619"
,18,-,Group 2,Life time,"1,525,471","1,360,653"
,20 (b),-,Group 2,"Mix of both life
time & 12","246,436","105,442"
,21,-,Group 2,12,"1,048,650","1,247,857"
,21,-,Group 2,12,"658,260","538,518"
Total,,,,,"29,825,019","26,570,033"
