Statement of financial position as at 1 January 2021,As Previously Reported,"Impact of correction of
errors",Restated
,KShs ‘000,KShs ‘000,KShs ‘000
Assets,,,
,"691,539",-,"691,539"
,"122,627",-,"122,627"
,"2,383,680",-,"2,383,680"
,"56,530",-,"56,530"
,"151,596","2,250","153,846"
,"25,987,034",-,"25,987,034"
,"1,148,029","(143,410)","1,004,619"
,"80,977","19,636","100,613"
,"898,594","(360,076)","538,518"
Total assets,"31,520,606","(481,600)","31,039,006"
