Column,Names,Shares,Percentages
1,HUBRIS HOLDINGS LIMITED,"82,278,000",93.03%
2,MAYFAIR INSURANCE COMPANY LTD,"1,282,050",1.45%
3,STANDARD CHARTERED NOMINEES A/C 9595,"852,600",0.96%
4,KENYA REINSURANCE CORPORATION LIMITED,"511,200",0.58%
5,THAMMO HOLDINGS LIMITED,"457,949",0.52%
6,CARBACID INVESTMENTS LIMITED,"390,000",0.44%
7,APA INSURANCE LIMITED,"348,557",0.39%
8,FIRST TEN LIMITED,"308,400",0.35%
9,PUBLIC TRUSTEE ESTATE OF E.N.KAMAU RE:PT/646/79/613/SMA,"298,440",0.34%
10,C.K.PATEL LIMITED,"176,400",0.20%
