"Gross
provisions","Reinsurance
assets",Net
KShs.’000,KShs.’000,KShs.’000
,"(157,706)
-
-",
"13,585,018",,"13,427,312"
"5,073,450",,"5,073,450"
"1,131,718",,"1,131,718"
"19,790,186","(157,706)","19,632,480"
