Column,Attributable to owners of Sanlam Kenya Plc,Column,Column,Column,Column,Column,Column,Column
,Share,Shar,e Revaluation,Statuto,ry Retained,,"Non-
controlling",
Note,capital,Premiu,m surplus,fu,nd earnings,Total,interests,Total
,KShsh.’000,KShs.’00,0 KShs.’000,KShs.’0,00 KShs.’000,KShs.’000,KShs.’000,KShs.’000
,"720,000",,- -,"1,450,","011 1,546,063","3,716,074","85,973","3,802,047"
,-,,"- 15,809",,"- 90,252","106,061","(12,189)","93,872"
24,-,,- -,"412,2","34 (412,234)",-,-,-
,-,,- -,,"(51,927)","(51,927)","88,252","36,325"
,"720,000",,"- 15,809","1,862,2","45 1,172,154","3,770,208","162,036","3,932,244"
,"720,000",,"- 15,809","1,862,2","45 1,172,154","3,770,208","162,036","3,932,244"
,-,,- 95,,"- 30,814","30,909","22,276","53,185"
24,-,,- -,"307,6","66 (307,666)",-,-,-
,-,,- -,"(560,2","53) 560,253",-,-,-
,-,,- -,,"3,759","3,759","62,762","66,521"
,"720,000",,"- 15,904","1,609,6","58 1,459,314","3,804,876","247,074","4,051,950"
