New and amended standards and interpretations,"Effective for periods
beginning on or after"
— IFRS 17 – Insurance Contracts,1 January 2023
— Definition of Accounting Estimates - Amendments to IAS 8,1 January 2023
"— Disclosure of Accounting Policies - Amendments to IAS 1 and IFRS
Practice Statement 2",1 January 2023
"— Classification of liabilities as current or non-current – Amendment to
IAS 1",1 January 2023
"— International Tax Reform—Pillar Two Model Rules (Amendments to
IAS 12)",23 May 2023
