Column,"Board
Meetings",Column,"Audit
Committee",Column,"Investment
Committee",Column,"Remuneration
Committee",Column
,(a),(b),(a),(b),(a),(b),(a),(b)
John Simba,4,4,,,4,4,,
John Burbidge,4,3,4,3,4,3,3,3
James Gitoho,4,4,,,,,3,3
Andrew Greenwood,4,4,4,4,4,4,3,3
Jeremy Rowse,4,3,,,,,,
Joshua Kituri,4,4,,,4,4,3,3
Baloobhai Patel,4,3,4,3,4,3,,
A Van Heerden*,2,2,2,2,2,2,,
