"Ordinary life
KShs.‘000","Super-
annuation
KShs.‘000","General business
KShs.‘000","Investments
KShs.‘000","Consolidation
adjustments
KShs.’000","Tota
KShs.‘00"
,"1,669,026","2,604,295
(909,205)",-,"-
-","6,991,58"
,"(404,946)",,-,,"(1,345,041"
,"1,264,080","1,695,090
192,263
145,972
(31,187)
-
-",-,"-
-
(19,052)
-
-
-","5,646,54"
,"121,258",,-,,"325,06"
,"1,271,202",,"18,596",,"2,350,28"
,"13,967",,"2,890",,"422,17"
,-,,-,,"2,62"
,-,,"90,842",,"152,37"
,"1,406,427","307,048","112,328","(19,052)","3,252,53"
,,"2,002,138",,"(19,052)",
,"2,670,508",,"112,328",,"8,899,07"
