"Ordinary life
KShs.‘000","Super-annuation
KShs.‘000","General business
KShs.‘000","Investments
KShs.‘000","Consolidation adjustments
KShs.’000","Total
KShs.‘000"
"2,507,245","1,889,094","828,207",-,-,"5,224,546"
"(29,550)","(182,525)","(180,266)",-,-,"(392,341)"
"2,477,695","1,706,569","647,941",-,-,"4,832,205"
869,"39,377","34,709",-,-,"74,955"
"535,104","556,945","37,798","48,430",-,"1,178,277"
"715,174","522,718","22,661","142,623","(330,000)","1,073,176"
"(154,651)",-,"(60,029)","(298,469)",-,"(513,149)"
"(53,791)","(39,606)",-,-,-,"(93,397)"
"3,668","22,231",474,"575,634",-,"602,007"
"1,046,373","1,101,665","35,613","468,218","(330,000)","2,321,869"
"3,524,068","2,808,234","683,554","468,218","(330,000)","7,154,074"
"(1,981,042)","(1,704,911)","(508,032)",-,-,"(4,193,985)"
"13,761","76,294","114,444",-,-,"204,499"
"(752,484)","(554,395)","101,565",-,-,"(1,205,314)"
"600,054",-,-,-,-,"600,054"
-,"(41,091)","157,370",-,-,"116,279"
"(2,119,711)","(2,224,103)","(134,653)",-,-,"(4,478,467)"
-,-,-,"(28,009)",-,"(28,009)"
"(427,233)","(141,906)","(91,592)",-,-,"(660,731)"
"(609,009)","(194,799)","(471,587)","(394,199)",-,"(1,669,594)"
"(3,155,953)","(2,560,808)","(697,832)","(422,208)",-,"(6,836,801)"
"368,115","247,426","(14,278)","46,010","(330,000)","317,273"
-,-,,-,(220),(220)
"368,115","247,426","(14,278)","46,010","(330,220)","317,053"
"(124,935)","(92,773)","(30,338)","1,620",-,"(246,430)"
"243,180","154,653","(44,616)","47,630","(330,220)","70,623"
-,-,"23,249",-,-,"23,249"
"243,180","154,653","(21,367)","47,630","(330,220)","93,872"
