"Ordinary life
KShs.‘000","Super-
annuation
KShs.‘000","General business
KShs.‘000","Investments
KShs.‘000","Consolidation
adjustments
KShs.’000","Total
KShs.‘000"
,,"(1,349,177)
322,664
-
-
-",,"-
-
-
-
-",
,"(1,818,793)",,-,,"(5,532,435)"
,"106,699",,-,,"433,730"
,"592,658",,-,,"9,579"
,-,,-,,"267,011"
,"(14,308)",,-,,"(14,308)"
,"(1,133,744)","(1,026,513)
(24,141)
-
(928,442)",-,"-
-
14,260
6,341","(4,836,423)"
,-,,"(6,504)",,"(102,767)"
,-,,"(307,080)",,"(446,220)"
,"(464,362)",,"(237,326)",,"(2,963,583)"
,,"(1,979,096)",,"20,601",
,"(1,598,107)",,"(550,910)",,"(8,348,993)"
,,"23,042
-",,"1,549
-",
,"1,072,401",,"(438,582)",,"550,086"
,-,,-,,-
,,"23,042
(19,258)",,"1,549
-",
,"1,072,401",,"(438,582)",,"550,086"
,"(365,425)",,"(87,916)",,"(435,687)"
,,"3,784
-",,"1,549
-",
,"706,976",,"(526,498)",,"114,399"
,-,,-,,-
,,"3,784",,"1,549",
,"706,976",,"(526,498)",,"114,399"
