Column,ECL Stage 1,ECL Stage 2,ECL Stage3,Total
At 31 December 2018:,Kshs’000,Kshs’000,Kshs’000,Kshs’000
,"14,746",-,-,"14,746"
,"504,851",-,"131,333","636,184"
,"843,841",-,"1,396,989","2,240,830"
,"477,436",-,-,"477,436"
,"2,275,478",-,-,"2,275,478"
,"357,063",-,"2,657","359,720"
,"4,473,415",-,"1,530,979","6,004,394"
