Column,2024,Column,Column,Column,Column,2023,Column,Column,Column,Column
Class,Claims O/s,Claims Paid,"Actual
Reserves","Computed
Reserves","Utilization
Ratio",Claims O/s,Claims Paid,"Actual
Reserves","Computed
Reserves","Utilization
Ratio"
,-,-,-,"1,927,439",0%,,,,,
,-,"227,300","227,300","1,283,536",18%,,,,,
,"601,541","2,990,753","3,592,294","9,309,443",39%,,,,,
,"1,038,855","1,683,027","2,721,882","6,184,662",44%,,,,,
,-,"56,160","56,160","5,283,241",1%,,,,,
,"3,200","16,050","19,250","961,565",2%,,,,,
,"17,802,068","51,893,394","69,695,462","174,981,190",40%,,,,,
,"11,863,925","70,103,070","81,966,995","138,317,976",59%,,,,,
,-,"20,196,269","20,196,269","10,403,743",194%,,,,,
,"5,458,166","42,897,990","48,356,156","23,260,638",208%,,,,,
,1,"1,880,722","1,880,723","6,698,313",28%,,,,,
,"980,000","11,447,102","12,427,102","71,137,977",17%,,,,,
,-,-,-,"1,927,439",0%,,,,,
,"37,747,756","203,391,837","241,139,593","451,677,162",53.62%,,,,,
