Member,Directorship Status,"Number of Meetings
Schedules in 2024"
"Dr Grace Mwai
(Chairperson)",Independent & Non-Executive,4/4
Amine El Kernighi,Non-Executive Director,4/4
Dr John PN Simba,Non-Executive Director,4/4
Rohan Patel,Non-Executive Director,4/4
