Name,"Industry & Professional
Experience",Role
Dr. John P. N. Simba,"Legal, Strategy, Leadership,
Corporate Governance and ethics","Board Chairman & Non- Executive
Director"
Dr. Patrick Tumbo,"Insurance, Strategy, Management","Group Chief Executive Officer &
Executive Director"
Julius Nyakia Magabe,Insurance and Risk Management,Non- Executive Director
Rohan Patel,"Management, Real Estate, Hotel
Development & Investment",Non- Executive Director
Susan Mudhune,Banking and Financial Services,Non- Executive Director
Freda Britz,Accounting and Management,"Independent & Non- Executive
Director"
Nelius Bezuidenhout,"Actuarial, Financial Consulting and
Management",Non- Executive Director
Cornie Foord,"Operations, Accounting and
Management",Non- Executive Director
Rose Agutu,Banking,"Independent & Non- Executive
Director"
Dr Grace Mwai,"Compliance and Program
Management","Independent & Non- Executive
Director"
