"2013
KShs.’000
5,324,099
(222,272)",Column,"2013
KShs.’000
-
-"
"5,101,827","5,125,634",-
"52,680
1,534,084
1,168,709
685,054","75,866
1,244,574
879,863
594,904","-
39,582
-
582,358"
"3,440,527","2,795,207","621,940"
"8,542,354","7,920,841","621,940"
"(2,258,375)
115,711
(1,644,278)
(1,391,857)
(95,539)","(1,674,761)
174,333
(1,751,861)
(2,290,403)
21,297","-
-
-
-
-"
"(5,274,338)
(724,477)
(68,775)
(960,408)
-","(5,521,395)
(669,678)
(40,210)
(856,582)
-","-
-
(68,775)
(132,960)
(21,663)"
"(7,027,998)","(7,087,865)","(223,398)"
"1,514,356
2,088","832,976
1,670","398,542
-"
"1,516,444
(266,012)","834,646
(234,406)","398,542
(118,196)"
"1,250,432","600,240","280,346"
"1,250,432","600,240","280,346"
