Column,Group,Column,Company,Column
,2017,2016,2017,2016
Note,KShs.‘000,KShs.‘000,KShs.‘000,KShs.‘000
12,"157,361","177,071","7,575","9,826"
13(a),"3,180,700","2,761,200",-,-
11(a),"109,035","116,661",-,-
11(b),-,-,-,-
14(a),-,-,"1,465,396","1,343,604"
14(b),"17,465","21,572","4,861","4,861"
29,"192,843","182,721","48,868","24,883"
15,"758,234","930,564",-,-
16(a),"9,463,228","8,836,392",-,-
16(a),"104,793","104,653",-,-
16(a),"9,934,526","10,566,547",-,-
22(c),"153,049","150,427",-,-
17,"633,226","554,983",-,-
21,"118,734","127,366","118,734","127,366"
10,"20,094","65,583","15,423","15,423"
22(a),"830,044","550,622",-,-
22(b),"451,941","798,792","173,287","366,767"
23,"2,239,644","2,033,481",-,-
23,"301,567","463,955","26,362","11,659"
13(b),"1,145,000",-,-,-
,"29,811,484","28,442,590","1,860,506","1,904,389"
