In millions of Kshs,2023,2022,2021,2020,2019
,,Restated,,,
"Statement of profit or loss:
Profit/(loss) before tax and share of profit of
associate
(Loss)/profit after tax attributed to shareholders","243
(127)","286
(83)","(414)
(542)","(529)
(628)","550
114"
Insurance business:,2023,2022,2021,2020,2019
"Insurance service result
Investment return
Net financial result","589
1,061
485","( 82)
2,045
881","IFRS 4*
IFRS 4*
IFRS 4*","IFRS 4*
IFRS 4*
IFRS 4*","IFRS 4*
IFRS 4*
IFRS 4*"
Statement of financial position:,2023,2022,2021,2020,2019
,,Restated,Restated,,
"Total equity
Life insurance contract liabilites (Note 23(a))
General insurance contract liabilites (Note 23(a))
Share capital
Total assets","866
25,154
2,776
720
35,535","993
25,938
3,686
720
36,717","1,076
24,200
3,969
720
34,254","1,107
20,894
1,373
720
31,039","1,735
19,605
947
720
29,032"
Key indicators:,KShs,"Restated
KShs",KShs,KShs,KShs
"Basic (loss)/earnings per share
Market capitalisation at year end (KShs. m)","( 1.12)
864","( 0.50)
1,380","( 2.79)
1,663","( 3.55)
1,865","0.79
2,478"
Group share prices at the NSE:,,,,,
"Annual high
Annual low
Share price at year end","9.58
6
6","15
7.56
9.58","14
9
11.55","22
20
12.95","26
16
17.2"
