Column,"ECL Stage
1","ECL Stage
2","ECL
Stage3",Total
At 31 December 2019:,Kshs’000,Kshs’000,Kshs’000,Kshs’000
,,-,"23,111
918,810
-
-","379,766"
,,-,,"938,571"
,,-,,"296,429"
,,"7,910",,"666,349"
,,"7,910","941,921","2,281,115"
