Group,"Neither past due nor
impaired","Past due but not
impaired",Impaired,Total
,KShs.’000,KShs.’000,KShs.’000,KShs.’000
,"15,196,781",-,-,"15,196,781"
,"633,226",-,-,"633,226"
,"830,044",-,"1,282,533","2,112,577"
,"758,234",-,"6,371","764,605"
,"451,941",-,-,"451,941"
,"2,541,211",-,-,"2,541,211"
,"20,411,437",-,"1,288,904","21,700,341"
Company:,,,,
,-,-,-,-
,"173,287",-,-,"173,287"
,"26,362",-,-,"26,362"
,"199,649",-,-,"199,649"
