Column,Gross provisions,Reinsurance assets,Net
,KShs.'000,KShs.'000,KShs.'000
Long-term business:,,,
,"15,457,720","(125,807)","15,331,913"
,"3,890,108",-,"3,890,108"
,"1,546,627",-,"1,546,627"
,"20,894,455","(125,807)","20,768,648"
