Member,Directorship Status,Attendance at Meetings,Attendance at Meetings
1,James Gitoho (Chairman),Non-Executive Director,75%
2,Margaret Dawes,Non-Executive Director,100%
3,John Simba,Non-Executive Director,100%
4,Susan Mudhune,Non-Executive Director,100%
