Member,Directorship Status,Attendance at Meetings
Thomas Wixley (Chairman),Non-Executive Director,100%
Margaret Dawes,Non-Executive Director,100%
Robert Dommisse,Non-Executive Director,75%
Baloobhai Patel,Non-Executive Director,100%
Susan Mudhune,Non-Executive Director,75%
