For the year ended 31 December 2020:,At start of year,"Initial application of
IFRS 16","(Charge)/credit to
Income
statement","Transfer to current
tax",At end of year
,KShs.‘000,KShs.‘000,KShs.‘000,KShs.‘000,KShs.‘000
,"8,020","-
-
-","4,574","-
-
162,405","12,594"
,"145,635",,"(6,633)",,"139,002"
,"(649,620)",,"(80,034)",,"(567,249)"
,"(495,965)",-,"(82,093)","162,405","(415,653)"
,"153,655",-,"(2,059)",-,"151,596"
,"(649,620)",-,"(80,034)","162,405","(567,249)"
,,"-
2,437
-
-",,"-
-
-
-",
,"6,465",,"1,555",,"8,020"
,"164,709",,"(21,547)",,"145,635"
,"65,377",,"(65,377)",,-
,"(360,397)",,"289,223",,"(649,620)"
,"(123,846)","2,437","276,509",-,"(495,965)"
,"236,551","2,437","(85,369)",-,"153,655"
,"(360,397)",-,"289,223",-,"(649,620)"
