2023,Life risk,Non-life,Total
,KShs.’000’,KShs.’000’,KShs.’000’
,"-
-
( 2,625)
1,053,474
(1,603,469)
-","-
-
-
(129,805)
-
-","-
-
( 2,625)
923,669
(1,603,469)
-"
,"(552,620)
(22)
(23,179)","(129,805)
-
32,678","(682,425)
(22)
9,499"
,"( 23,201)
225,574","32,678
162,704","9,477
388,278"
,"(552,620)
(552,620)","(129,805)
(129,805)","(682,425)
(682,425)"
