Group,2021,2020
,KShs.'000,Kshs. ‘000
Assets,Carrying value,Carrying value
,"250,636","300,319"
,"87,811","122,627"
,"243,969","198,477"
,"1,525,471","1,360,653"
,"89,696","89,564"
,"836,074","1,004,619"
,"333,294","191,197"
,"658,260","538,518"
Liabilities,,
,"(3,000,000)","(2,976,861)"
,"(1,965,924)","(1,847,958)"
,"(34,570)","(34,620)"
,"(1,172,231)","(1,094,521)"
,"(111,209)","(119,189)"
,"(101,209)","(132,469)"
,"(759,757)","(753,151)"
,"(3,119,689)","(3,152,795)"
