Key Business Ratios,Column,Column,Column,Column
,2012,2013,2014,2015
Basic earnings / (loss) per share,6,13,6,( 0.43)
Dividends per share,3,5,-,-
Market capitalisation - Year end (KShs. m),"3,864","8,640","11,520","8,640"
