Category,Number of Shareholders,Number of Shares,%
Local Corporate,139,"33,419,735",69.62
Local Individual,1343,"13,044,403",27.17
East African Individual,890,"894,245",1.86
Foreign Investors,194,"640,009",1.33
East African Corporate,1,"1,608",0.02
TOTAL,"2,567","48,000,000",100.00
