"2010
KShs.’000
3,830,693
(287,744)",Column,"2010
KShs.’000
-
-"
"3,542,949","2,821,180",-
"69,639
420,398
689,884
128,684","48,468
361,501
98,539
65,344","-
-
-
106,582"
"1,308,605","573,852","106,582"
"4,851,554","3,395,032","106,582"
"(1,067,855)
110,874
(2,064,625)
22,707","(1,020,461)
96,305
(1,330,358)
4,295","-
-
-
-"
"(2,998,899)
(890,043)
(603,311)
-","(2,250,219)
(620,438)
(417,092)
-","-
-
(86,176)
(19,291)"
"(4,492,253)","(3,287,749)","(105,467)"
"359,301
305,899","107,283
66,364","1,115
1,640"
"665,200
(75,942)","173,647
(34,731)","2,755
-"
"589,258","138,916","2,755"
"589,258
-","138,916
-","2,755
-"
"589,258","138,916","2,755"
"12.28
12.28","2.89
2.89","0.06
0.06"
