Column,RESOLUTIONS,FOR,AGAINST,WITHHELD
1,"THAT the Balance Sheet and Accounts
for the year ended 31 December 2020
together with the reports of the Chairman,
the Group Chief Executive, the Directors,
the Auditor and the Statutory Actuary are
hereby approved and adopted.",,,
2,"THAT Ms Freda Britz is hereby elected a
Director of the Company.",,,
3,"THAT Mr Cornelius Foord is hereby
elected a Director of the Company",,,
4,"THAT Mr Rohan Patel is hereby elected a
Director of the Company.",,,
5,"THAT in accordance with the provisions of
Section 769 of the Companies Act, 2015
the following Directors, being members of
the Audit, Actuarial, Risk and Compliance
Committee are hereby elected to continue
serving as members of the Committee:
a. Freda Britz (Chair Person)
b. Nelius Bezuidenhout
c. Julius Magabe
d. Cornie Foord
e. Rose Agutu",,,
6,"THAT the Directors’ remuneration is
hereby approved.",,,
