Year ended 31 December 2019,Motor vehicles,"Computer
equipment","Furniture and
equipment",Property,Work in progress,Total
,KShs.’000,KShs.’000,KShs.’000,KShs.’000,KShs.’000,KShs.’000
,,,"357,741
125,958
74,063
(51,226)",,"57,690
16,373
(74,063)
-",
,,"246,830",,-,,"675,354"
,,"11,444",,-,,"153,775"
,,-,,"446,320",,"446,320"
,,"(4,874)",,-,,"(56,100)"
,,"253,400","506,536","446,320",-,"1,219,349"
,,,"(222,437)
47,844
(58,403)",,"-
-
-",
,,"(214,756)",,-,,"(442,840)"
,,"4,116",,-,,"51,960"
,,"(18,339)",,"(13,657)",,"(93,012)"
,,"(228,979)","(232,996)","(13,657)",-,"(483,892)"
,,,"135,304",,"57,690",
,,"32,074",,-,,"232,514"
,,"24,421","273,540","432,663",-,"735,547"
