Category,Number of Shareholders,Number of Shares,%
Local Corporate,162,"32,353,449",67.40
Local Individual,"2,515","15,041,071",31.34
Foreign Investors,199,"605,480",1.26
TOTAL,"2,876","48,000,000",100
