Financial asset,Description,Key principle applied
Government Securities,"This is secured or unsecured short term or long
term debt issued by a sovereign Government","Sanlam utilises a scoring methodology while
reviewing sovereign debt credit risk. The scores
are adjusted for credit risk ratings and a macro
economic outlook adjustment."
Receivables from direct insurance arrangements,"These are receivable that arise out of normal
insurance business","Sanlam uses a simplified approach based on an
entity’s historical default rates over the expected
life of the receivables and is adjusted for forward-
looking estimates."
Other receivables,"These are all other receivables that are neither
investment assets nor insurance receivable","These are each assessed individually based on
the unique factors that include the nature, aging,
collateral to determine a loss rate adjusted with a
macroeconomic factor"
