"Group
KShs. ‘000"
"1,009,130"
"(35,338)
(22,284)
(82,467)
(400,930)
42,070
(26,072)
202,449
855,000
(103,677)
47,027
184,284"
"660,062"
"-
(144,000)
(132,913)"
"(276,913)"
"1,392,279
1,648,719"
"3,040,998"
