Column,< 1 year,1 - 5 years,> 5 years,Open ended,Total
As at 31 December 2018:,KShs.‘000,KShs.‘000,KShs.‘000,KShs.‘000,KShs.‘000
,-,-,-,"2,579,271","2,579,271"
,"308,028","1,374,140","13,485,047",-,"15,167,215"
,"529,438","740,082",-,-,"1,269,520"
,"2,275,478",-,-,-,"2,275,478"
,"3,112,944","2,114,222","13,485,047","2,579,271","21,291,484"
