Column,"Share
capital","Revaluation
surplus","Statutory
fund","Retained
earnings",Total,"Non-
controlling
interests",Total
Note,KShsh.’000,KShs.’000,KShs.’000,KShs.’000,KShs.’000,KShs.’000,KShs.’000
,"720,000",-,"676,720","(68,620)","1,328,100","258,938","1,587,038"
,-,-,-,"113,334","113,334","1,065","114,399"
22,-,-,"635,564","(635,564)",-,-,-
,-,-,-,(349),(349),"33,934","33,585"
,"720,000",-,"1,312,284","(591,199)","1,441,085","293,937","1,735,022"
,"720,000","15,904","1,609,658","1,459,314","3,804,876","247,074","4,051,950"
,-,-,"(306,278)","(154,338)","(460,616)","(24,870)","(485,486)"
,-,-,-,"(2,017,061)","(2,017,061)","37,635","(1,979,426)"
22,-,-,"(626,660)","626,660",-,-,-
,,"(15,904)",,"15,904",-,-,-
,-,-,-,901,901,(901),-
,"720,000",-,"676,720","(68,620)","1,328,100","258,938","1,587,038"
