2015,2016,2017,2018,2019
KShs.m,KShs.m,KShs.m,KShs.m,KShs.m
51,317,251,"(2,130)",550
(62),90,31,"(2,017)",113
"5,182","5,225","6,370","6,346","6,991"
"4,797","4,832","5,416","5,372","5,647"
"4,257","4,478","4,534","5,124","4,836"
"3,802","3,932","4,052","1,587","1,735"
"19,589","20,432","20,124","20,042","19,605"
"1,513","1,415","1,438","1,222",947
720,720,720,720,720
"27,109","28,443","29,811","29,102","29,027"
KShs.,KShs.,KShs.,KShs.,KShs.
(0.43),0.63,0.21,(14.01),0.79
-,-,-,-,-
-,-,-,-,-
"8,640","3,996","3,996","3,168","2,478"
141*,65,31,28,26
"55
60","28
28","18
28","20
22","16
17.2"
