Column,2024,2023
Contracts measured under the PAA,KShs. ‘000,KShs. ‘000
,"783,359","808,846"
,"(82,338)","253,108"
,"701,021","1,061,954"
,"341,534","140,036"
,"1,042,555","1,201,990"
