"Ordinary life
KShs.‘000","Super-
annuation
KShs.‘000","General business
KShs.‘000","Investments
KShs.‘000","Consolidation
adjustments
KShs.’000","Total
KShs.‘000"
,"2,310,948","3,483,844
(1,437,085)
2,046,759
365,400
147,356
37,534
-",-,"-
-
-
-
(203,748)
-
-","8,697,626"
,"(370,319)",,-,,"(1,846,020)"
,"1,940,629",,-,,"6,851,606"
,"77,393",,-,,"458,076"
,"1,419,013",,"194,113",,"2,473,877"
,"(165,758)",,"11,428",,"(360,862)"
,-,,"2,362",,"5,846"
,"1,330,648","550,290","207,903","(203,748)","2,576,937"
,"3,271,276","2,597,049","207,903","(203,748)","9,428,543"
,"(2,118,535)","(2,225,238)
1,057,590
-
-
(1,167,648)
(20,766)
(8,148)
(1,213,786)",-,"-
-
-
-
-
-
-
11,598","(6,505,249)"
,"421,762",,-,,"1,480,676"
,"(861,482)",,,,"(1,872,702)"
,-,,-,,"1,183,341"
,"(17,591)",,-,,"(17,591)"
,"(2,575,846)",,-,,"(5,731,525)"
,-,,"(6,685)",,"(137,684)"
,-,,"(491,985)",,"(522,560)"
,"(393,854)",,"(259,807)",,"(2,993,490)"
,"(2,969,700)","(2,410,348)","(758,477)","11,598","(9,385,259)"
,"301,577","186,701
-","(550,574)","(192,150)
-","43,284"
,-,,-,,-
