Column,Column,Column,Column,Column,Column,Group,Column,Column,Column,Company,Column,Column
,,,,,,2023,,2022,,2023,,2022
,,,,,,,,*Restated,,,,
,,,Note,,,KShs.'000,,KShs.'000,,KShs.'000,,KShs.'000
,Insurance revenue,,4,,,"6,936,282",,"8,302,078",,-,,-
,Insurance service expenses,,5,,,"(5,048,193)",,"(8,167,325)",,-,,-
,Net expenses from reinsurance,,5(d),,,"(1,201,990)",,"( 232,221)",,-,,-
,"t t
Insurance service result","686,099",,,,,,"(97,468)",,-,,-
"Interest revenue calculated using
the effective interest method",,6,,,"244,768",,"178,267",,-,,-,
,Interest revenue calculated using,,,,,,,,,,,
,the effective interest method,,6,,,"244,768",,"178,267",,-,,-
,Other interest income,,6,,,"2,757,142",,"2,819,286",,-,,-
,Other investment revenue,,6,,,"(1,940,684)",,"( 952,880)",,-,,-
Net investment income,,,,,"1,061,226",,"2,044,673",,-,,-,
,Net investment income,,,,,"1,061,226",,"2,044,673",,-,,-
,Net finance expenses from,,6,,,"( 682,425)",,"(1,139,688)",,-,,-
,iNet financ e inctomte/ (expenses),6,,,"9,477",,"( 9,341)",,-,,-,
,from reinsurance contracts,,,,,,,,,,,
Net financial result,,,,,"388,278",,"895,644",,-,,-,
,Net financial result,,,,,"388,278",,"895,644",,-,,-
,Other operating expenses,,5(c),,,"( 220,937)",,"( 212,106)",,"(111,680)",,"(122,600)"
,Other incomes,,7,,,"(6,043)",,"155,040",,"154,123",,"345,807"
,Finance costs,,22,,,"( 604,610)",,"( 455,345)",,"(577,301)",,"(428,128)"
Profit/(loss) before tax,,,,,"242,787",,"285,765",,"(534,858)",,"(204,921)",
,Profit/(loss) before tax,,,,,"242,787",,"285,765",,"(534,858)",,"(204,921)"
,Income tax expense,,8(a),,,"( 369,355)",,"( 368,708)",,"( 1,254)",,"( 3,118)"
Loss for the year after tax,,,,,"( 126,568)",,"( 82,943)",,"(536,112)",,"(208,039)",
,Loss for the year after tax,,,,,,,,,,,
,Loss attributable to:,,,,,,,,,,,
,Owners of the parent,,28,,,"( 161,128)",,"( 72,691)",,"(536,112)",,"(208,039)"
,Non-controlling interests,,12(b,),,"34,560",,"( 10,252)",,-,,-
,,,,,"( 126,568)",,"( 82,943)",,"(536,112)",,"(208,039)",
Earnings/(loss) per share:,,,,,,,,,,,,
,Earnings/(loss) per share:,,,,,,,,,,,
,Basic - KShs,,28,,,( 1.12),,( 0.50),,( 3.72),,( 1.44)
,Diluted - KShs,,28,,,( 1.12),,( 0.50),,( 3.72),,( 1.44)
