Column,Loans,Insurance receivables,"Cash and bank
balances",Total
,KShs.’000,KShs.’000,KShs.’000,KShs.'000
The movement in the provisions is as follows:,,,,
,,,,"2,264,667"
,,,,"(1,122,107)"
Unused amounts reversed,"23,878",-,-,"23,878"
,,,,"1,166,438"
,,,,"1,444,850"
,,,,"868,662"
Unused amounts reversed,"(28,159)",-,-,"(28,159)"
,,,,"2,285,353"
