Column,Member,Directorship Status,"Number of Meetings
scheduled in 2014"
1,Susan Mudhune (Chairperson),Non-Executive Director,3/4
2,Margaret Dawes,Non-Executive Director,4/4
3,Dr John PN Simba,Non-Executive Director,4/4
4,James Gitoho,Non-Executive Director,2/2
