Column,Column,2021,2020
,Note,KShs.'000,KShs.'000
,,"(48,504)","(556,160)"
Adjusted for:,,,
Investment income,6(a),"(9,457)","(1,368)"
,12(b),"5,563","6,685"
,6(a),"(1,000,000)","(180,000)"
,6(a),"(425,464)",-
,12(c),"4,534","4,486"
,12(c),"4,631","4,772"
,7(c),"11,061",-
,23,"7,273",-
,23,"398,432","265,927"
,23,"86,517","213,651"
,14,"801,497","4,863"
,,"(163,917)","(237,144)"
Changes in working capital:,,,
,,"(13,139)","56,190"
,,"(159,650)","160,104"
,,"(336,706)","(20,850)"
,10,(646),-
Net cash used in from operations,,"(337,352)","(20,850)"
