Group,2019,Level 1,Level 2,Level 3,Column
,KShs.‘000,KShs.‘000,KShs.‘000,KShs.‘000,KShs.‘00
,Carrying value,"-
-
-
-
-
-
-
-
-
-
-
-
-",,"-
-
-
-
-
-
-
-
-
-
-
-
-",Fair valu
,"379,766",,"379,766",,"379,76"
,"123,773",,"123,773",,"123,77"
,"751,534",,"751,534",,"751,53"
,"89,564",,"89,564",,"89,56"
,"938,571",,"938,571",,"938,57"
,"319,297",,"319,297",,"319,29"
,"544,763",,"544,763",,"544,76"
,"650,529",,"650,529",,"650,52"
,"2,763,210",,"2,763,210",,"2,763,21"
,"1,265,707",,"1,265,707",,"1,265,70"
,"34,619",,"34,619",,"34,61"
,"972,237",,"972,237",,"972,23"
,"777,502",,"777,502",,"777,50"
