Financial asset,Description,Key principle applied
"Cash and bank
balances","Cash assets have been defined as
cash in bank, on hand or in other
accounts. These excludes liquid
deposits held with financial institutions","Sanlam annually performs the bank
credit risk analysis for banking
institutions, within which institutions
are scored and ranked. Institutions
are then assigned an internal rating
rank based on the score and assigned
a credit rating."
"Deposits with
financial
institutions","Deposits with financial institutions are
cash transfers to financial institutions
for the purposes of a term investment
during which the principal can be
redeemed with interest earned at the
call of the investor. This will exclude
any cash in a bank account that is
earning interest on existing balances","Sanlam annually performs the bank
credit risk analysis for banking
institutions, within which institutions
are scored and ranked. Institutions
are then assigned an internal rating
rank based on the score and assigned
a credit rating."
"Government
Securities","This is secured or unsecured short term
or long-term debt issued by a sovereign
Government","Sanlam utilizes the ECL model based
on PD, LGD and EAD reviewing
sovereign debt credit risk. The loss
allowance is adjusted for credit risk
ratings and a macro economic outlook
adjustment."
"Receivables from
direct insurance
arrangements","These are receivable that arise out of
normal insurance business","Sanlam uses a simplified approach
based on an entity’s historical default
rates over the expected life of the
receivables and is adjusted for
forward-looking estimates."
"Other
receivables","These are all other receivables that are
neither investment assets nor
insurance receivable","These are each assessed individually
based on the unique factors that
include the nature, aging, collateral to
determine a loss rate adjusted with a
macroeconomic factor"
