"2014
KShs.’000
5,246,527
(255,757)",Column,"2014
KShs.’000
-
-"
"4,990,770","5,101,827",-
"49,013
1,993,175
648,386
293,651","52,680
1,534.084
1,168,709
685,054","-
24,777
-
190,313"
"2,984,225","3,440,527","215,090"
"7,974,995","8,542,354","215,090"
"(2,710,948)
121,405
(1,556,685)
(863,878)
(43,588)","(2,258,375)
115,711
(1,644,278)
(1,391,857)
(95,539)","-
-
-
-
-"
"(5,053,694)
(778,294)
(19,848)
(973,171)
-","(5,274,338)
(724,477)
(68,775)
(960,408)
-","-
-
(19,848)
(120,247)
-"
"(6,825,007)","(7,027,998)","(140,095)"
"1,149,988
2,610","1,514,356
2,088","74,995
-"
"1,152,598
(281,408)","1,516,444
(266,012)","74,995
(26,518)"
"871,190","1,250,432","48,477"
"871,190","1,250,432","48,477"
