Category,Number of Shareholders,Number of Shares,%
Local Corporate,142,"34,848,499",72.60
Local Individual,"2,259","12,595,914",26.24
Foreign Investors,195,"555,587",1.16
TOTAL,"2,596","48,000,000",100
