For the year ended 31 December 2024,"Salary and short-
term benefits",Fees,Total
,KShs ‘000,KShs ‘000,KShs ‘000
Patrick Tumbo – Executive,"172,152",-,"172,152"
John P N Simba – Chairman,-,"4,099","4,099"
Amine El Kernighi,-,"2,178","2,178"
Rose Agutu,-,"2,177","2,177"
Grace Mwai,-,"2,664","2,664"
Rohan Patel,-,"2,728","2,728"
Nelius Bezuidenhout,-,"2,813","2,813"
Cornelius Foord,-,"2,177","2,177"
Freda Britz,-,"2,897","2,897"
,"172,152","21,733","193,885"
