Number,Effective date,Executive summary
IFRS 16 – Leases,"Annual periods beginning on or
after 1 January 2019 – earlier
application permitted if IFRS 15
is also applied.
(published January 2016)","This standard replaces the current guidance in IAS 17 and is a far reaching change in accounting by
lessees in particular.
Under IAS 17, lessees were required to make a distinction between a finance lease (on balance
sheet) and an operating lease (off balance sheet). IFRS 16 now requires lessees to recognise a lease
liability reflecting future lease payments and a ‘right-of-use asset’ for virtually all lease contracts. The
IASB has included an optional exemption for certain short-term leases and leases of low-value assets;
however, this exemption can only be applied by lessees.
For lessors, the accounting stays almost the same. However, as the IASB has updated the guidance
on the definition of a lease (as well as the guidance on the combination and separation of contracts),
lessors will also be affected by the new standard.
At the very least, the new accounting model for lessees is expected to impact negotiations between
lessors and lessees. Under IFRS 16, a contract is, or contains, a lease if the contract conveys the right
to control the use of an identified asset for a period of time in exchange for consideration.
IFRS 16 supersedes IAS 17, ‘Leases,’ IFRIC 4, ‘Determining whether an Arrangement contains a
Lease,’ SIC 15, ‘Operating Leases – Incentives’ and SIC 27, ‘Evaluating the Substance of Transactions
Involving the Legal Form of a Lease.’"
"Amendments to IFRS 9 – ‘Financial instruments’ on
prepayment features with negative compensation and
modification of financial liabilities.","Annual periods beginning on or
after 1 January 2019","The narrow-scope amendment covers two issues:
The amendments allow companies to measure particular prepayable financial assets with so-called
negative compensation at amortised cost or at fair value through other comprehensive income if a
specified condition is met—instead of at fair value through profit or loss. It is likely to have the biggest
impact on banks and other financial services entities.
How to account for the modification of a financial liability. The amendment confirms that most such
modifications will result in immediate recognition of a gain or loss. This is a change from common
practice under IAS 39 today and will affect all kinds of entities that have renegotiated borrowings."
"Amendments to IAS 19, ‘Employee benefits’ on plan
amendment, curtailment or settlement.","Annual periods on or after 1
January 2019
(issued February 2018)","These amendments require an entity to:
Use updated assumptions to determine current service cost and net interest for the remainder of
the period after a plan amendment, curtailment or settlement; and
Recognise in profit or loss as part of past service cost, or a gain or loss on settlement, any
reduction in a surplus (recognised or unrecognised). This reflects the substance of the transaction,
because a surplus that has been used to settle an obligation or provide additional benefits is
recovered. The impact on the asset ceiling is recognised in other comprehensive income, and it is not
reclassified to profit or loss The impact of the amendments is to confirm that these effects are not
offset."
