< 1 year,1-5 years,>5 years,open ended,Total
KShs.‘000,KShs.‘000,KShs.‘000,KShs.‘000,KShs.‘000
"745,656","3,236,989","1,357,817",-,"5,340,462"
"62,283","726,425","1,494,764",-,"2,283,472"
"1,375,273
1,437,556","3,519,346
4,245,771","6,236,896
7,731,660","179,609
179,609","11,311,124
13,594,596"
-,-,-,"1,107,372","1,107,372"
"2,183,212","7,482,760","9,089,477","1,286,981","20,042,430"
