Group:,Column,Column,Column,Column
31 December 2019,"ECL Stage
1","ECL Stage
2","ECL
Stage3",Tot
,KShs.’000,KShs.’000,KShs.’000,KShs.’00
,,,"-
1,310,860
87,605
-
-",
,,-,,"751,53"
,,-,,"2,249,43"
,,-,,"467,37"
,,-,,"296,42"
,,-,,"650,52"
,,-,"1,398,465","4,415,29"
,,,"-
-
-",
,,-,,
,,-,,"82,62"
,,-,,"113,41"
,,-,-,"196,03"
