i) Long term insurance business,Group,Column
,2021,2020
,KShs.'000,KShs.'000
New business: Recurring,,
,"582,826","567,035"
,"1,027,752","189,743"
New business: Single premiums,,
,"2,737,677","1,626,997"
,"4,348,255","2,383,775"
Renewal recurring,,
,"2,481,603","2,335,800"
,"539,404","494,207"
,"3,021,007","2,830,007"
,"7,369,262","5,213,782"
ii) General insurance business,2021,2020
,KShs.'000,"KShs.'000
Restated"
Class of business,,
,"131,595","61,810"
,"70,969","69,846"
,"488,626","312,688"
,"211,173","130,565"
,"45,672","35,697"
,"945,784","712,908"
,"1,071,778","705,912"
,"312,750","171,646"
,"10,840","23,000"
,"751,679","1,037,762"
,"154,748","113,563"
,"425,681","89,502"
,"51,461","18,944"
,"4,672,756","3,483,843"
,"12,042,018","8,697,625"
