Name,Meetings Attended
Dr. John P. N. Simba,4/4
Dr. Patrick Tumbo,4/4
Julius Nyakia Magabe,4/4
Rohan Patel,4/4
Susan Mudhune,4/4
Freda Britz,4/4
Nelius Bezuidenhout,4/4
Cornie Foord,4/4
Dr Grace Mwai,3/3
Rose Agutu,3/3
