Life risk,Life savings,Non-life,Investment,"*Consolidation
Adjust",Total
KShs.'000',KShs.'000',KShs.'000',KShs.'000',KShs.'000',KShs.'000'
"4,389,292
260,371
2,334,663
2,127,963","170,955
-
-
-","2,810,845
153,501
216,773
179,514","-
-
-
-","(12,063)
-
-
-","7,359,029
413,872
2,551,436
2,307,477"
"9,112,289","170,955","3,360,633",-,"(12,063)","12,631,814"
"(3,565,605)
994,642
(3,557,854)
-
2,611,442
571,051
562,836
59,492
2,135,733
19,785,194
18,165,889
-
-
-","-
-
-
-
2,249,644
28,475
68,198
-
-
8,627,306
9,369,365
-
-
-","(2,119,417)
691,428
(231,596)
( 34,302)
941,923
433,131
373,960
44,238
336,743
7,798,673
-
2,766,204
-
1,174,528","-
-
-
(700,510)
-
-
-
-
-
1,537,405
-
-
-
3,041,628","12,063
-
-
-
-
-
-
-
-
-
-
-
-
-","(5,672,959)
1,686,070
(3,789,450)
( 734,812)
5,803,009
1,032,657
1,004,994
103,730
2,472,476
37,748,578
27,535,254
2,766,204
-
4,216,156"
