Sum assured,Number of lives,Column,Before Reinsurance,Column,After reinsurance,Column
,2020,2019,2020,2019,2020,2019
Kshs’000,,,,,,
,"1,958","2,003","126,823 123,021
206,675 185,165
163,931 140,977
135,027 118,323
103,270 88,849
437,233 380,164",,"126,823","123,021"
,979,912,,,"206,675","185,165"
,452,403,,,"163,931","140,977"
,263,239,,,"135,027","118,323"
,155,139,,,"103,270","88,849"
,348,314,,,"437,233","380,164"
,"4,155","4,010","1,172,959 1,036,499",,"1,172,959","1,036,499"
