2023,Life risk,Life savings,Non-life,Total
,KShs.’000,KShs.’000,KShs.’000,KShs.’000
,"461,209
23,505
2,136,546
( 22,436)","-
-
-
184,844","-
-
-
-","461,209
23,505
2,136,546
162,408"
,-,-,-,
,"2,598,824","184,844",-,"2,783,668"
,"1,329,427",-,"2,823,187","4,152,614"
,"3,928,251","184,844","2,823,187","6,936,282"
